Episode 174/10000, Total Reward: 35.0, Epsilon: 0.9998
Episode 175/10000, Total Reward: 180.0, Epsilon: 0.9998
Episode 176/10000, Total Reward: 135.0, Epsilon: 0.9998
Episode 177/10000, Total Reward: 155.0, Epsilon: 0.9998
Episode 178/10000, Total Reward: 60.0, Epsilon: 0.9998
Episode 179/10000, Total Reward: 340.0, Epsilon: 0.9998
Episode 180/10000, Total Reward: 235.0, Epsilon: 0.9998
Episode 181/10000, Total Reward: 595.0, Epsilon: 0.9998
第180場結束，儲存模型架構與參數
Episode 182/10000, Total Reward: 155.0, Epsilon: 0.9998
Episode 183/10000, Total Reward: 160.0, Epsilon: 0.9998
Episode 184/10000, Total Reward: 65.0, Epsilon: 0.9998
Episode 185/10000, Total Reward: 105.0, Epsilon: 0.9998
Episode 186/10000, Total Reward: 285.0, Epsilon: 0.9998
Episode 187/10000, Total Reward: 110.0, Epsilon: 0.9998
Episode 188/10000, Total Reward: 50.0, Epsilon: 0.9998
Episode 189/10000, Total Reward: 75.0, Epsilon: 0.9998
Episode 190/10000, Total Reward: 65.0, Epsilon: 0.9998
Episode 191/10000, Total Reward: 105.0, Epsilon: 0.9998
Episode 192/10000, Total Reward: 255.0, Epsilon: 0.9998
Episode 193/10000, Total Reward: 180.0, Epsilon: 0.9998
Episode 194/10000, Total Reward: 60.0, Epsilon: 0.9998
Episode 195/10000, Total Reward: 135.0, Epsilon: 0.9998
Episode 196/10000, Total Reward: 190.0, Epsilon: 0.9998
Episode 197/10000, Total Reward: 210.0, Epsilon: 0.9998
Episode 198/10000, Total Reward: 210.0, Epsilon: 0.9998
Episode 199/10000, Total Reward: 150.0, Epsilon: 0.9998
Episode 200/10000, Total Reward: 120.0, Epsilon: 0.9998
Episode 201/10000, Total Reward: 295.0, Epsilon: 0.9998
第200場結束，儲存模型架構與參數
Episode 202/10000, Total Reward: 115.0, Epsilon: 0.9998
Episode 203/10000, Total Reward: 135.0, Epsilon: 0.9998
Episode 204/10000, Total Reward: 180.0, Epsilon: 0.9998
Episode 205/10000, Total Reward: 225.0, Epsilon: 0.9998
Episode 206/10000, Total Reward: 110.0, Epsilon: 0.9998
Episode 207/10000, Total Reward: 45.0, Epsilon: 0.9998
Episode 208/10000, Total Reward: 140.0, Epsilon: 0.9998
Episode 209/10000, Total Reward: 390.0, Epsilon: 0.9998
Episode 210/10000, Total Reward: 160.0, Epsilon: 0.9998
Episode 211/10000, Total Reward: 115.0, Epsilon: 0.9998
Episode 212/10000, Total Reward: 105.0, Epsilon: 0.9998
Episode 213/10000, Total Reward: 155.0, Epsilon: 0.9998
Episode 214/10000, Total Reward: 155.0, Epsilon: 0.9998
Episode 215/10000, Total Reward: 290.0, Epsilon: 0.9998
Episode 216/10000, Total Reward: 460.0, Epsilon: 0.9998
Episode 217/10000, Total Reward: 315.0, Epsilon: 0.9998
Episode 218/10000, Total Reward: 475.0, Epsilon: 0.9998
Episode 219/10000, Total Reward: 130.0, Epsilon: 0.9998
Episode 220/10000, Total Reward: 20.0, Epsilon: 0.9998
Episode 221/10000, Total Reward: 20.0, Epsilon: 0.9998
第220場結束，儲存模型架構與參數
Episode 222/10000, Total Reward: 190.0, Epsilon: 0.9998
Episode 223/10000, Total Reward: 125.0, Epsilon: 0.9998
Episode 224/10000, Total Reward: 135.0, Epsilon: 0.9998
Episode 225/10000, Total Reward: 90.0, Epsilon: 0.9998
Episode 226/10000, Total Reward: 55.0, Epsilon: 0.9998
Episode 227/10000, Total Reward: 180.0, Epsilon: 0.9998
Episode 228/10000, Total Reward: 90.0, Epsilon: 0.9998
Episode 229/10000, Total Reward: 135.0, Epsilon: 0.9998
Episode 230/10000, Total Reward: 165.0, Epsilon: 0.9998
Episode 231/10000, Total Reward: 65.0, Epsilon: 0.9998
Episode 232/10000, Total Reward: 105.0, Epsilon: 0.9998
Episode 233/10000, Total Reward: 225.0, Epsilon: 0.9998
Episode 234/10000, Total Reward: 75.0, Epsilon: 0.9998
Episode 235/10000, Total Reward: 280.0, Epsilon: 0.9998
Episode 236/10000, Total Reward: 50.0, Epsilon: 0.9998
Episode 237/10000, Total Reward: 120.0, Epsilon: 0.9998
Episode 238/10000, Total Reward: 55.0, Epsilon: 0.9998
Episode 239/10000, Total Reward: 90.0, Epsilon: 0.9998
Episode 240/10000, Total Reward: 65.0, Epsilon: 0.9998
Episode 241/10000, Total Reward: 20.0, Epsilon: 0.9998
第240場結束，儲存模型架構與參數
Episode 242/10000, Total Reward: 105.0, Epsilon: 0.9998
Episode 243/10000, Total Reward: 230.0, Epsilon: 0.9998
Episode 244/10000, Total Reward: 45.0, Epsilon: 0.9998
Episode 245/10000, Total Reward: 50.0, Epsilon: 0.9998
Episode 246/10000, Total Reward: 45.0, Epsilon: 0.9998
Episode 247/10000, Total Reward: 105.0, Epsilon: 0.9998
Episode 248/10000, Total Reward: 120.0, Epsilon: 0.9998
Episode 249/10000, Total Reward: 60.0, Epsilon: 0.9998
Episode 250/10000, Total Reward: 155.0, Epsilon: 0.9998
Episode 251/10000, Total Reward: 55.0, Epsilon: 0.9998
Episode 252/10000, Total Reward: 95.0, Epsilon: 0.9998
Episode 253/10000, Total Reward: 65.0, Epsilon: 0.9998
Episode 254/10000, Total Reward: 205.0, Epsilon: 0.9998
Episode 255/10000, Total Reward: 210.0, Epsilon: 0.9998
Episode 256/10000, Total Reward: 205.0, Epsilon: 0.9998
